number,zip,latitude,longitude
103732,85032,33.6026,-111.9764
103741,85716,32.2357,-110.9272
103778,85306-6000,33.6209,-112.1809
10377801,331667601,NULL,NULL
103787,85021,33.5777,-112.0922
103811,85043-4729,33.4423,-112.1753
103893,85051-4063,33.5608,-112.1155
103909,85210,33.393,-111.8553
103927,85705-5885,32.2709,-110.978
103945,86004,35.2112,-111.6048
103954,85712,32.2373,-110.8723
103963,85301-3579,33.5372,-112.1573
104090,85021,33.5254,-112.1501
104151,85287,33.4219,-111.94
104160,85365-8834,32.6893,-114.496
104179,85721-0066,32.2321,-110.9508
104188,85716,32.2524,-110.9273
104294,85254,33.624,-111.9255
104346,85128-9030,32.9571,-111.6525
104364,85712,32.2367,-110.8951
104391,86403,34.4753,-114.3281
104425,85607-6190,31.3658,-109.6904
104434,86004,35.1972,-111.6259
104443,85224,33.3476,-111.8604
104504,85710,32.219,-110.8568
104568,85210,33.3766,-111.8583
104577,85552-0769,32.8407,-109.7617
104586,86301-3720,34.6157,-112.4523
104665,85261-4430,33.6072,-111.8465
104708,85302,33.5675,-112.1883
104717,85017,33.5122,-112.1299
104805,85014,33.4943,-112.0502
104911,85202-4887,33.393,-111.8627
105118,85029,33.6082,-112.1189
105145,85034,33.4495,-111.9965
105154,85202,33.3913,-111.8715
105163,85704-5829,32.2973,-110.9975
105172,85282,33.3804,-111.9692
105206,86409-1238,35.2707,-114.0302
105215,85027,33.6844,-112.1213
105297,86556,36.3276,-109.2947
105330,86011-4132,35.1801,-111.6577
105349,86025-0610,34.9222,-110.1316
105367,85021,33.5779,-112.1134
105428,85013,33.4814,-112.0883
105482,85257,33.4666,-111.9084
105516,85282-2371,33.4123,-111.9802
105525,85709-1275,32.2268,-110.9852
105534,85716,32.2504,-110.9213
105543,87110,35.1055,-106.5947
105589,86301,34.5445,-112.4765
105659,85034-1816,33.4487,-111.9894
105668,85281,33.4131,-111.9752
105677,85007,33.4547,-112.0864
105701,85546,32.8353,-109.7277
105747,85256,33.5095,-111.8873
105792,85042,33.381,-112.0575
105899,85032-7097,33.5951,-112.0262
105987,85711,32.2218,-110.8835
106041,85323,33.4535,-112.2897
106102,85282,33.6007,-112.1184
106111,85051,33.5381,-112.1182
106148,86301,34.5475,-112.4542
106245,72204,34.7266,-92.3418
106263,72205-7199,34.7497,-92.3209
106281,71923,34.1223,-93.0816
106306,72202-6068,34.7348,-92.2906
106315,72209,34.6691,-92.3348
106324,72801,35.2786,-93.1352
106342,72501,35.7789,-91.6281
106351,72114,34.7536,-92.2663
10635101,72204,NULL,NULL
106360,72901-3342,35.38,-94.411
106397,72701,36.0615,-94.1782
106412,71601,34.2422,-92.0213
106449,72012-1000,35.0745,-91.8962
106458,72401,35.8428,-90.6805
106467,72801-2222,35.2952,-93.1323
106485,71656,33.5898,-91.813
106494,72076,34.8918,-92.1023
106546,72210-2820,34.7131,-92.4069
106625,72455,36.2398,-90.951
106704,72035-0001,35.0782,-92.4593
106713,72034,35.0846,-92.4441
106795,71832,34.0434,-94.3673
106810,72450,36.0662,-90.5848
106829,72335-0925,35.0419,-90.7678
106883,72335-2204,35.0397,-90.7674
106892,72205,34.7511,-92.3412
106908,72117,34.7913,-92.2213
106980,71913,34.5127,-93.1171
106999,72503-3350,35.7929,-91.6161
107044,72143,35.2496,-91.729
10704401,381175499,NULL,NULL
107071,71999-0001,34.1278,-93.0603
107080,72032-3080,35.0997,-92.442
107099,71901,34.4963,-93.0384
107123,71603,34.1878,-92.018
107141,72761,36.1911,-94.5591
107211,72114-3800,34.782,-92.2967
107220,72764-7128,36.1676,-94.1318
10722001,727614217,NULL,NULL
10722002,727562102,NULL,NULL
10722003,727014217,NULL,NULL
107275,72653-3164,36.3447,-92.386
107293,72901,35.3809,-94.4163
107318,72301-3829,35.1457,-90.2229
107327,72316-1109,35.8974,-89.9225
107363,71655,33.6292,-91.7887
107442,72114-4973,34.7591,-92.2541
107460,72601-5508,36.2205,-93.0873
107488,72764,36.1786,-94.1164
107512,71998-0001,34.125,-93.0524
107521,72104-0816,34.3787,-92.8214
107549,72556-0010,36.053,-91.8964
107558,72830,35.4778,-93.4679
107585,72110,35.1721,-92.7285
107600,72202-3799,34.7367,-92.2824
107619,72342-0785,34.545,-90.6177
107637,71603,34.2098,-92.0247
107655,71730-4009,33.2151,-92.6631
107664,72118-3347,34.7824,-92.2997
107725,71801,33.6479,-93.5845
107743,71953,34.5908,-94.2197
107789,72703,36.0787,-94.1565
107831,72143,35.2377,-91.7345
107840,72114,NULL,NULL
107877,72476,36.1268,-90.9399
107974,71731-7010,33.2094,-92.6661
107983,71753,33.2912,-93.2351
107992,71701-1906,33.6039,-92.839
108065,72202-5452,34.7357,-92.2898
108092,72913-3649,35.3853,-94.3741
108232,94105,37.7877,-122.4007
108250,95670-6034,38.5917,-121.2815
108269,94612,37.8067,-122.2727
108348,92647,33.7289,-117.9877
108649,94501,37.7642,-122.2436
108667,94501,37.7824,-122.2793
108807,93454-6399,34.943,-120.4215
108852,90028,34.0953,-118.3441
108861,94704-3029,37.8653,-122.2561
108870,90027-1625,34.1085,-118.31
108977,91790,33.8844,-118.125
109040,90004,34.0792,-118.2923
109086,94108-5834,37.7873,-122.4049
109208,95841-4286,38.6497,-121.346
109332,94541,37.6754,-122.0848
109350,93536-5426,34.6762,-118.1862
109651,91103,34.1708,-118.1869
109721,90017-1604,34.056,-118.2724
109730,92101,32.7157,-117.1582
109785,91702-7000,34.1309,-117.888
109819,93305-1299,35.4108,-118.9735
109907,92311,34.8715,-117.0252
109934,91950,32.6768,-117.0902
110060,92801,33.8423,-117.9413
110097,90639-0001,33.9048,-118.0173
110185,93101,34.4186,-119.696
110194,92805,33.819,-117.9064
110219,90010,34.0614,-118.3029
110246,95965-8399,39.6491,-121.6447
110307,91311,34.2427,-118.5677
110316,94103,37.7748,-122.4165
110334,95003,36.9891,-121.9279
110361,92504-3297,33.9286,-117.4259
110370,94107-2247,37.8357,-122.2514
110398,94102-4978,37.7807,-122.4154
110404,91125,34.1393,-118.1257
110413,91360-2787,34.2256,-118.8795
110422,93407,35.2989,-120.6586
110468,92131-1799,32.8971,-117.0944
11046801,937271360,NULL,NULL
11046802,918031360,NULL,NULL
11046803,941331221,NULL,NULL
11046804,926061221,NULL,NULL
11046805,958331221,NULL,NULL
110486,93311-1099,35.35,-119.1047
110495,95382-0299,37.5258,-120.8525
110510,92407-2397,34.183,-117.3225
110529,91768,34.0543,-117.819
110538,95929-0150,39.728,-121.8463
110547,90747-0005,33.8652,-118.2593
110556,93740,36.8145,-119.7483
110565,92831-3599,33.8836,-117.8853
110574,94542,37.6571,-122.0581
110583,90840-0115,33.7828,-118.1123
110592,90032,34.0669,-118.169
110608,91330,34.2367,-118.5268
110617,95819-2694,38.5575,-121.4219
110635,94720,37.8715,-122.2604
110644,95616-8678,38.5399,-121.752
110653,92697,33.667,-117.7686
110662,90095-1405,34.0689,-118.4439
110671,92521,33.9759,-117.3311
110680,92093,32.8766,-117.2378
110699,94143-0244,37.7627,-122.458
110705,93106,34.4155,-119.8481
110714,95064-1011,36.9973,-122.068
110778,94303,37.4303,-122.1087
110875,95354,37.6452,-120.9969
110918,93703-3599,36.7676,-119.7328
110945,92111-1009,32.7702,-117.1338
111009,94103,37.7654,-122.4026
111054,91941-5055,32.7652,-117.0243
111081,91355-2397,34.3933,-118.5673
111188,94590,38.0691,-122.2316
111391,92101-3046,32.7219,-117.1626
111434,94061-1099,37.4474,-122.2655
111461,91355-1899,34.4031,-118.5695
111513,92845,33.781,-118.0317
111638,91405,34.1954,-118.4483
11163801,902503327,NULL,NULL
111708,92102,32.7117,-117.1225
111717,95110,37.3227,-121.887
111726,92243,32.7909,-115.5491
111744,92408,34.0751,-117.2687
111762,95076,36.9318,-121.768
111771,95020,37.0157,-121.5614
111799,93901,36.6716,-121.6528
111887,90650-6298,33.8858,-118.0973
111896,93555-9571,35.5678,-117.6677
111920,94545,37.6425,-122.107
111939,91737-3002,34.1471,-117.5731
111948,92866,33.7937,-117.8515
111966,90059,33.9257,-118.2428
112075,92612-3203,33.6535,-117.8106
112084,92019-1157,32.8,-116.9031
112127,94709-1211,37.8762,-122.2614
112172,91741-1899,34.1355,-117.8853
112181,95610-1410,NULL,NULL
112190,94112-1898,37.726,-122.4512
112251,91711-6160,34.1038,-117.7124
112260,91711-6400,34.1023,-117.7066
112288,93277,36.2841,-119.3134
112367,93611,36.8369,-119.6902
112385,92708-2597,33.6098,-117.8618
112394,94089,37.407,-122.0242
112446,92123-1506,32.822,-117.1365
112455,92866,33.7883,-117.8535
112525,91766-1854,34.0581,-117.7477
112561,95370,38.0304,-120.3876
112570,91356-1411,34.1796,-118.5384
112686,90221-5393,33.8767,-118.2092
112826,94806-3195,37.9686,-122.3424
113096,95823-5799,38.4538,-121.423
113111,92339-1799,34.0385,-117.1008
113193,93403-8106,35.3299,-120.7416
113218,92019,32.7431,-116.941
113236,90630-5897,33.8276,-118.0239
113333,95014,37.3192,-122.0454
113397,92545,33.746,-116.9999
11339701,90201,NULL,NULL
11339702,91748,NULL,NULL
11339703,90723,NULL,NULL
11339704,92646,NULL,NULL
11339705,84041,NULL,NULL
11339706,84405,NULL,NULL
11339707,92234,NULL,NULL
11339708,92563,NULL,NULL
11339709,94559,NULL,NULL
113449,92260-2740,33.7296,-116.4039
113537,95525-0816,40.8809,-123.9889
113573,92260,33.7325,-116.3876
113582,92121,32.731,-117.1498
113634,94523,37.968,-122.0699
113698,94901-2298,37.98,-122.5147
113704,94708-1816,37.8811,-122.2646
113856,91754-6099,34.0392,-118.1484
113908,95050,37.348,-121.9478
11390801,93955,NULL,NULL
11390802,94401,NULL,NULL
11390803,94541,NULL,NULL
11390804,94546,NULL,NULL
113980,90506,33.8856,-118.3266
