id,city,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6601,Milton,Van Buren County,IA,Iowa,52570,City,40.67336,-92.16212,641,413,155,33438,6497528,11551,America/Chicago
6602,Minburn,Dallas County,IA,Iowa,50167,City,41.75638,-94.02745,515,384,143,43194,660394,0,America/Chicago
6603,Minden,Pottawattamie County,IA,Iowa,51553,City,41.46694,-95.54278,712,594,225,58250,1082251,13322,America/Chicago
6604,Mineola,Mills County,IA,Iowa,51554,CDP,41.14305,-95.69556,712,152,75,43792,1070671,0,America/Chicago
6605,Mingo,Jasper County,IA,Iowa,50168,City,41.76749,-93.28354,641,301,108,41429,1573814,0,America/Chicago
6606,Missouri Valley,Harrison County,IA,Iowa,51555,City,41.55638,-95.88779,712,2695,1162,48077,8367405,0,America/Chicago
6607,Mitchell,Mitchell County,IA,Iowa,50461,City,43.32191,-92.8677,641,137,56,45417,1409683,0,America/Chicago
6608,Mitchellville,Polk County/Jasper County,IA,Iowa,50169,City,41.66812,-93.36394,515,2304,681,54432,6046094,15019,America/Chicago
6609,Modale,Harrison County,IA,Iowa,51556,City,41.61971,-96.01196,712,262,99,47344,2715091,0,America/Chicago
6610,Mona,Mitchell County,IA,Iowa,50472,CDP,43.48719,-92.9413,641,34,20,33106,3860485,0,America/Chicago
6611,Mondamin,Harrison County,IA,Iowa,51557,City,41.71054,-96.02168,712,374,158,46111,1168557,0,America/Chicago
6612,Monmouth,Jackson County,IA,Iowa,52309,City,42.07696,-90.87986,563,151,50,38750,1456161,0,America/Chicago
6613,Monona,Clayton County,IA,Iowa,52159,City,43.05165,-91.3893,563,1500,760,50833,3021812,0,America/Chicago
6614,Monroe,Jasper County,IA,Iowa,50170,City,41.52221,-93.10187,641,1831,740,49167,4386928,0,America/Chicago
6615,Montezuma,Poweshiek County,IA,Iowa,50171,City,41.58583,-92.52741,641,1411,664,53571,6427001,31040,America/Chicago
6616,Monticello,Jones County,IA,Iowa,52310,City,42.23834,-91.18709,319,3825,1666,44307,16357060,109206,America/Chicago
6617,Montour,Tama County,IA,Iowa,50173,City,41.98138,-92.71492,641,247,112,57083,1182517,0,America/Chicago
6618,Montrose,Lee County,IA,Iowa,52639,City,40.53226,-91.41488,319,885,377,44844,2900418,41929,America/Chicago
6619,Moorhead,Monona County,IA,Iowa,51558,City,41.92249,-95.8514,712,218,122,36875,837209,0,America/Chicago
6620,Moorland,Webster County,IA,Iowa,50566,City,42.44164,-94.29497,515,164,86,38438,3833242,0,America/Chicago
6621,Moravia,Appanoose County/Monroe County,IA,Iowa,52571,City,40.89172,-92.81998,641,643,331,38750,2897890,630,America/Chicago
6622,Morley,Jones County,IA,Iowa,52312,City,42.00612,-91.24627,319,114,66,32500,242871,0,America/Chicago
6623,Morning Sun,Louisa County,IA,Iowa,52640,City,41.09614,-91.25765,319,821,356,51250,2016233,0,America/Chicago
6624,Morrison,Grundy County,IA,Iowa,50669,City,42.34415,-92.67381,319,93,31,50938,247027,0,America/Chicago
6625,Moulton,Appanoose County,IA,Iowa,52572,City,40.68585,-92.67741,641,585,244,28750,2613262,0,America/Chicago
6626,Mount Auburn,Benton County,IA,Iowa,52313,City,42.25499,-92.09268,319,148,46,43750,726043,0,America/Chicago
